Post ID,Comment ID,Comment,Label
101858671714061_116772973555964,116772973555964_116773720222556,"hiện đại trẻ trung, không chê vào đâu được",1
101858671714061_116772973555964,116772973555964_116773963555865,điện thoại không chống nước.,-1
101858671714061_116772973555964,116772973555964_116773963555865,Tôi làm rơi vào bồn cầu xong bật không lên được nữa.,0
101858671714061_116772973555964,116772973555964_116774226889172,màu nâu phèn vl,-1
101858671714061_116772973555964,116772973555964_116774280222500,lòi cả bin ra kìa :))) chịu,-1
101858671714061_116772973555964,116772973555964_116775160222412,"1,2 con ngựa đầu trọc
Nhìn điện thoại thiết kế khá cọc",-1
101858671714061_116772973555964,116772973555964_116775253555736,"trứng rán cần mỡ bắp cần bơ
đang lướt fb thì máy bị đơ",-1
101858671714061_116772973555964,116772973555964_116823940217534,thiết kế rất sang trọng,1
101858671714061_116772973555964,116772973555964_116824003550861,đẹp thế này phải sở hữu ngay 1c,1
101858671714061_116772973555964,116772973555964_116824076884187,pin bền lắm nhé,1
101858671714061_116772973555964,116772973555964_116824243550837,camera sắc nét thế nhỉ,1
101858671714061_116772973555964,116772973555964_116824303550831,Giao diện đẹp thế nhỉ,1
101858671714061_116772973555964,116772973555964_116824560217472,Độ phân giải màn hình đỉnh của chóp luôn,1
101858671714061_116772973555964,116772973555964_116825716884023,thật là đáng đồng tiền bát gạo,1
101858671714061_116772973555964,116772973555964_116825783550683,chưa baoh mua 1 sản phẩm mà ưng như thế này,1
101858671714061_116772973555964,116772973555964_116826023550659,mình khuyên mọi người nên mua để dùng nhé,1
101858671714061_116772973555964,116772973555964_116826216883973,sản phẩm thảm họa à,-1
101858671714061_116772973555964,116772973555964_116826276883967,pin gì hao nhanh thế,-1
101858671714061_116772973555964,116772973555964_116826326883962,máy dùng 2p đơ lòi là sao nhỉ,-1
101858671714061_116772973555964,116772973555964_116826403550621,làm ăn như này thì chết người tiêu dùng,-1
101858671714061_116772973555964,116772973555964_116826506883944,sản phẩm thì không ra gì?thái độ nhân viên thì lồi lõm,-1
101858671714061_116772973555964,116772973555964_116826526883942,chán thế này feedback 1 sao nhé,-1
101858671714061_116772973555964,116772973555964_116826553550606,quảng cáo thì như bịp người ta,-1
101858671714061_116772973555964,116772973555964_116826870217241,máy gì mà đẹp thế :3,1
101858671714061_116772973555964,116772973555964_116826983550563,chưa kịp dùng thì camera trước đã hỏng,-1
101858671714061_116772973555964,116772973555964_116827093550552,sóng gì không nổi 2 cột là sao tarr?,-1
101858671714061_116772973555964,116772973555964_116827193550542,ai đó cản mình lại đi chứ mình đốt quán mất,-1
101858671714061_116772973555964,116772973555964_116827296883865,"slogan "" Uy tín tạo thương hiệu "" nên đổi lại là "" Sống bằng nghề bịp nhau "" nhé",-1
101858671714061_116772973555964,116772973555964_116827363550525,hai từ tuyệt vời,1
101858671714061_111061344127127,111061344127127_111063757460219,ủng hộ hàng nội nên mua thôi chứ dùng dở,-1
101858671714061_111061344127127,111061344127127_111064127460182,có nhưng có như ko mà thôi mình dùng 2 hôm đứt cáp r =)),-1
101858671714061_111061344127127,111061344127127_111064620793466,giá cao quá,-1
101858671714061_111061344127127,111061344127127_111064920793436,ib từ hôm kia còn k rep thế có bán k hay như nào,-1
101858671714061_111061344127127,111061344127127_111066034126658,rất tuyệt vời xin cám ơn,1
101858671714061_111061344127127,111061344127127_111066050793323,"mẫu mã đẹp, ổn trong tầm giá.",1
101858671714061_111061344127127,111061344127127_111066050793323,tuy nhiên máy dùng khá nhanh nóng.,-1
